"No.","Time","Source","Destination","Protocol","Length","Info"
"2034","5.136230","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2035","5.136241","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2036","5.136244","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2037","5.136247","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2038","5.136251","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2039","5.136253","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2040","5.136256","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2041","5.136259","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2042","5.136261","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2043","5.136265","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2044","5.136267","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2045","5.136271","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2046","5.136274","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2047","5.136276","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2048","5.137127","192.168.1.2","187.19.145.48","UDP","82","53800  >  443 Len=40"
"2049","5.137312","192.168.1.2","187.19.145.48","UDP","82","53800  >  443 Len=40"
"2050","5.137381","192.168.1.2","187.19.145.48","UDP","82","53800  >  443 Len=40"
"2051","5.137451","192.168.1.2","187.19.145.48","UDP","84","53800  >  443 Len=42"
"2052","5.137529","192.168.1.2","187.19.145.48","UDP","86","53800  >  443 Len=44"
"2053","5.137592","192.168.1.2","187.19.145.48","UDP","88","53800  >  443 Len=46"
"2054","5.137647","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2055","5.137648","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2056","5.137649","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2057","5.137650","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2058","5.137651","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2059","5.137651","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2060","5.137652","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2061","5.137653","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2062","5.137654","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2063","5.137655","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2064","5.137655","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2065","5.137656","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2066","5.137657","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2067","5.137658","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2068","5.137658","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2069","5.137660","192.168.1.2","187.19.145.48","UDP","88","53800  >  443 Len=46"
"2070","5.137725","192.168.1.2","187.19.145.48","UDP","88","53800  >  443 Len=46"
"2071","5.137787","192.168.1.2","187.19.145.48","UDP","101","53800  >  443 Len=59"
"2072","5.137927","192.168.1.2","187.19.145.48","UDP","88","53800  >  443 Len=46"
"2073","5.141681","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2074","5.141681","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2075","5.141683","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2076","5.141683","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
