"No.","Time","Source","Destination","Protocol","Length","Info"
"16476","15.996405","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16477","15.996406","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16478","15.996406","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16479","15.996406","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16480","15.996522","192.168.1.2","187.19.145.48","UDP","82","52409  >  443 Len=40"
"16481","15.998522","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16482","15.998522","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16483","15.998523","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16484","15.998523","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16485","15.998524","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16486","15.998524","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16487","15.998524","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16488","15.998525","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16489","15.998525","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16490","15.998525","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16491","15.998526","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16492","15.998645","192.168.1.2","187.19.145.48","UDP","82","52409  >  443 Len=40"
"16493","15.999411","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16494","15.999412","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16495","15.999412","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16496","15.999413","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16497","15.999413","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16498","15.999413","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16499","15.999414","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16500","15.999414","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16501","15.999414","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16502","15.999415","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16503","15.999415","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16504","15.999529","192.168.1.2","187.19.145.48","UDP","82","52409  >  443 Len=40"
"16505","16.000301","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16506","16.000302","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16507","16.000302","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16508","16.000303","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16509","16.000303","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16510","16.000303","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16511","16.000304","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16512","16.000304","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16513","16.000304","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16514","16.000304","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16515","16.000305","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16516","16.000403","192.168.1.2","187.19.145.48","UDP","82","52409  >  443 Len=40"
